	CodigoMatricula	NroCuota	FechaCompromiso	MonedaCuota
154	10497079A21959	9	2024-08-31 00:00:00,000	pesos mexicanos
155	10556434A21880	7	2024-07-16 00:00:00,000	pesos mexicanos
156	10556434A21880	8	2024-08-15 00:00:00,000	pesos mexicanos
157	10151966A23769	8	2024-06-30 00:00:00,000	pesos mexicanos
158	10535859A23790	4	2024-08-08 00:00:00,000	pesos mexicanos
159	10597378A25499	4	2024-08-18 00:00:00,000	pesos mexicanos
160	10597378A25499	5	2024-08-18 00:00:00,000	pesos mexicanos
161	10599460A25358	3	2024-05-15 00:00:00,000	pesos mexicanos
162	10414435A25379	6	2024-08-06 00:00:00,000	pesos mexicanos
163	10522688A23741	6	2024-05-20 00:00:00,000	pesos mexicanos
164	10522688A23741	5	2024-05-10 00:00:00,000	pesos mexicanos
165	10454584A24527	2	2024-05-10 00:00:00,000	pesos mexicanos
166	10497079A21959	7	2024-03-26 00:00:00,000	pesos mexicanos
167	10497079A21959	8	2024-04-20 00:00:00,000	pesos mexicanos
168	10558958A24527	2	2024-05-03 00:00:00,000	pesos mexicanos
169	10170847A23875	5	2024-06-05 00:00:00,000	pesos mexicanos
170	10574597A25425	4	2024-05-27 00:00:00,000	pesos mexicanos
171	10608111A25343	9	2024-12-14 00:00:00,000	pesos mexicanos
172	10545274A26503	2	2024-10-14 00:00:00,000	pesos mexicanos
173	10669647A26503	2	2024-10-16 00:00:00,000	pesos mexicanos
174	10677612A26146	3	2024-09-20 00:00:00,000	pesos mexicanos
175	10677612A26146	4	2024-10-05 00:00:00,000	pesos mexicanos
176	10556129A21880	11	2024-11-30 00:00:00,000	pesos mexicanos
177	10663262A24527	6	2025-01-03 00:00:00,000	pesos mexicanos
178	10571664A24797	10	2024-11-11 00:00:00,000	pesos mexicanos
179	10212921A26791	3	2024-12-20 00:00:00,000	pesos mexicanos
180	10692462A26405	4	2025-01-04 00:00:00,000	pesos mexicanos
181	10717781A25906	2	2025-01-25 00:00:00,000	pesos mexicanos
182	10223878A26863	3	2025-01-16 00:00:00,000	pesos mexicanos
183	10723371A26791	3	2025-01-25 00:00:00,000	pesos mexicanos
184	9933361A24110	2	2024-09-27 00:00:00,000	dolares
185	9933361A24110	3	2024-09-27 00:00:00,000	dolares
186	9717000A23105	6	2024-06-04 00:00:00,000	bolivianos
187	10282136A24299	4	2024-10-07 00:00:00,000	dolares
188	10649078A25817	3	2024-11-18 00:00:00,000	dolares
189	9476442A25422	2	2024-05-30 00:00:00,000	dolares
190	9476442A25422	3	2024-08-02 00:00:00,000	dolares
191	10424287A23931	7	2024-03-29 00:00:00,000	dolares
192	9406006A23266	1	2024-08-15 00:00:00,000	dolares
193	9070302A25521	6	2024-11-27 00:00:00,000	dolares
194	10013002A21973	3	2024-03-18 00:00:00,000	dolares
195	10547157A21866	3	2024-02-21 00:00:00,000	dolares
196	10492448A24368	2	2024-03-18 00:00:00,000	dolares
197	10596917A25521	2	2024-04-30 00:00:00,000	dolares
198	10596917A25521	4	2024-05-25 00:00:00,000	dolares
199	9712822A23992	3	2024-06-30 00:00:00,000	dolares
200	9712822A23992	4	2024-07-28 00:00:00,000	dolares
201	71460A24779	2	2024-05-16 00:00:00,000	dolares
202	10597658A25679	2	2025-01-24 00:00:00,000	dolares
203	10595801A25394	4	2024-09-06 00:00:00,000	pesos chilenos
204	10373780A23196	10	2024-06-30 00:00:00,000	dolares
205	10542205A25378	6	2024-08-31 00:00:00,000	pesos chilenos
206	9754549A12286	21	2024-11-15 00:00:00,000	dolares
207	9754549A12286	22	2024-12-18 00:00:00,000	dolares
208	9440496A21616	8	2025-01-15 00:00:00,000	dolares
209	9456802A19118	3	2024-05-22 00:00:00,000	dolares
210	10648109A25451	2	2024-08-15 00:00:00,000	dolares
211	10463067A23518	8	2024-04-30 00:00:00,000	pesos mexicanos
212	10520337A23856	4	2024-03-04 00:00:00,000	dolares
213	10061251A24097	8	2024-07-16 00:00:00,000	dolares
214	9961597A23714	10	2024-08-20 00:00:00,000	dolares
215	10199644A25380	3	2024-05-26 00:00:00,000	pesos mexicanos
216	10199644A25380	4	2024-07-09 00:00:00,000	pesos mexicanos
217	10199644A25380	5	2024-08-16 00:00:00,000	pesos mexicanos
218	10199644A25380	6	2024-10-14 00:00:00,000	pesos mexicanos
219	10511668A21880	10	2024-08-27 00:00:00,000	pesos mexicanos
220	9735811A21020	6	2024-02-29 00:00:00,000	bolivianos
221	9735811A21020	7	2024-02-29 00:00:00,000	bolivianos
222	10500295A25499	7	2024-12-15 00:00:00,000	pesos mexicanos
223	10500295A25499	8	2024-12-15 00:00:00,000	pesos mexicanos
224	10500295A25499	9	2024-12-30 00:00:00,000	pesos mexicanos
225	10124319A24043	7	2024-07-31 00:00:00,000	dolares
226	10549218A23776	5	2024-08-01 00:00:00,000	pesos mexicanos
227	10549218A23776	6	2024-10-15 00:00:00,000	pesos mexicanos
228	10272616A23777	7	2024-05-24 00:00:00,000	pesos mexicanos
229	10616907A25716	3	2024-07-04 00:00:00,000	pesos mexicanos
230	10386123A24299	5	2024-04-24 00:00:00,000	pesos mexicanos
231	9970149A21045	15	2024-04-03 00:00:00,000	dolares
232	9970149A21045	16	2024-04-03 00:00:00,000	dolares
233	10602933A25726	8	2025-03-05 00:00:00,000	dolares
234	10467212A21880	11	2025-01-22 00:00:00,000	pesos mexicanos
235	10467212A21880	12	2025-02-01 00:00:00,000	pesos mexicanos
236	10467212A21880	13	2025-02-01 00:00:00,000	pesos mexicanos
237	10667776A24719	3	2024-12-28 00:00:00,000	pesos mexicanos
238	10667776A24719	4	2024-12-28 00:00:00,000	pesos mexicanos
239	10469285A25878	3	2024-07-22 00:00:00,000	pesos mexicanos
240	10469285A25878	4	2024-08-22 00:00:00,000	pesos mexicanos
241	10514738A23741	5	2024-08-29 00:00:00,000	pesos mexicanos
242	10514738A23741	6	2024-08-29 00:00:00,000	pesos mexicanos
243	10486740A24527	4	2024-07-04 00:00:00,000	pesos mexicanos
244	10486740A24527	5	2024-06-21 00:00:00,000	pesos mexicanos
245	10486740A24527	6	2024-07-03 00:00:00,000	pesos mexicanos
246	10348186A21880	9	2024-06-21 00:00:00,000	pesos mexicanos
247	10534443A22247	3	2024-07-22 00:00:00,000	pesos mexicanos
248	10534443A22247	4	2024-07-22 00:00:00,000	pesos mexicanos
249	10502381A21462	4	2024-08-29 00:00:00,000	pesos mexicanos
250	10565684A24825	3	2024-04-15 00:00:00,000	dolares
251	10619943A23790	3	2024-08-04 00:00:00,000	pesos mexicanos
252	10619943A23790	4	2024-08-04 00:00:00,000	pesos mexicanos
253	10570693A25716	5	2024-09-30 00:00:00,000	pesos mexicanos
254	10570693A25716	6	2024-09-30 00:00:00,000	pesos mexicanos
255	10603460A25716	2	2024-06-01 00:00:00,000	pesos mexicanos
256	10459202A23689	7	2024-08-27 00:00:00,000	dolares
257	10373780A23196	9	2024-02-27 00:00:00,000	dolares
258	10343399A22784	4	2024-02-26 00:00:00,000	dolares
259	10149386A23840	5	2024-04-20 00:00:00,000	pesos mexicanos
260	10149386A23840	6	2024-08-04 00:00:00,000	pesos mexicanos
261	10149386A23840	7	2024-08-04 00:00:00,000	pesos mexicanos
262	9927283A21518	9	2024-04-15 00:00:00,000	dolares
263	9927283A21518	10	2024-04-15 00:00:00,000	dolares
264	10542431A23741	4	2024-03-25 00:00:00,000	pesos mexicanos
265	9688198A19091	8	2024-04-30 00:00:00,000	dolares
266	9688198A19091	9	2024-04-30 00:00:00,000	dolares
267	9791003A19563	5	2024-05-30 00:00:00,000	dolares
268	10284846A24527	6	2025-01-24 00:00:00,000	pesos mexicanos
269	10467212A21880	10	2024-12-17 00:00:00,000	pesos mexicanos
270	10604383A24779	9	2024-12-20 00:00:00,000	pesos mexicanos
271	10604187A25741	8	2025-01-16 00:00:00,000	dolares
272	10649000A24527	6	2025-02-07 00:00:00,000	pesos mexicanos
273	10649000A24527	7	2025-02-07 00:00:00,000	pesos mexicanos
274	10649000A24527	8	2025-02-07 00:00:00,000	pesos mexicanos
275	10648988A24971	5	2024-10-25 00:00:00,000	dolares
276	10648988A24971	6	2024-12-10 00:00:00,000	dolares
277	10648988A24971	7	2024-12-06 00:00:00,000	dolares
278	10077662A24199	10	2024-10-15 00:00:00,000	dolares
279	10077662A24199	11	2024-11-06 00:00:00,000	dolares
280	10287488A24199	9	2024-10-30 00:00:00,000	dolares
281	10663909A24499	2	2024-08-16 00:00:00,000	soles
282	10645386A24360	2	2024-07-15 00:00:00,000	soles
283	10692893A25701	3	2025-01-27 00:00:00,000	soles
284	10615757A24550	2	2024-05-30 00:00:00,000	soles
285	12718A26913	3	2024-12-03 00:00:00,000	soles
286	10314447A26765	2	2024-12-16 00:00:00,000	soles
287	10271170A262821	4	2025-01-15 00:00:00,000	soles
288	10271170A262821	5	2025-01-15 00:00:00,000	soles
289	10674058A262721	5	2024-12-06 00:00:00,000	soles
290	10485162A262721	3	2024-10-30 00:00:00,000	soles
291	10609307A26612	6	2025-02-05 00:00:00,000	soles
292	10123733A19132	10	2024-03-20 00:00:00,000	soles
293	10602303A25692	8	2025-01-17 00:00:00,000	soles
294	9501295A25381	8	2025-04-05 00:00:00,000	soles
295	9931968A23485	17	2025-01-21 00:00:00,000	soles
296	10102576A23528	7	2024-04-30 00:00:00,000	soles
297	192161A25901	7	2024-12-26 00:00:00,000	soles
298	10576448A25381	3	2024-11-30 00:00:00,000	soles
299	10593229A25381	4	2024-09-30 00:00:00,000	soles
300	9483021A24112	6	2024-04-30 00:00:00,000	soles
301	9483021A24112	7	2024-05-20 00:00:00,000	soles
302	10111735A18896	10	2025-04-08 00:00:00,000	soles
303	10111735A18896	11	2025-04-08 00:00:00,000	soles
304	9813344A21294	3	2024-07-04 00:00:00,000	soles
305	9993352A21294	6	2024-02-08 00:00:00,000	soles
306	10593229A25381	5	2024-10-30 00:00:00,000	soles
307	10381414A23122	7	2025-03-20 00:00:00,000	soles
308	10381414A23122	8	2025-03-20 00:00:00,000	soles
309	10631078A25413	5	2024-11-30 00:00:00,000	soles
310	10397581A21838	10	2025-02-28 00:00:00,000	soles
311	9909727A23122	11	2024-11-02 00:00:00,000	soles
312	10123733A19132	9	2024-02-23 00:00:00,000	soles
313	10562094A25381	7	2024-12-11 00:00:00,000	soles
314	10562094A25381	8	2024-12-11 00:00:00,000	soles
315	10166892A25381	9	2024-12-13 00:00:00,000	soles
316	10224756A25381	5	2024-10-25 00:00:00,000	soles
317	10224756A25381	6	2024-10-18 00:00:00,000	soles
318	10224756A25381	7	2024-11-18 00:00:00,000	soles
319	10613954A25381	7	2024-11-01 00:00:00,000	soles
320	10554688A25381	9	2024-12-15 00:00:00,000	soles
321	10554688A25381	10	2024-12-15 00:00:00,000	soles
322	10613954A25381	8	2024-11-28 00:00:00,000	soles
323	10286732A25050	4	2024-06-07 00:00:00,000	soles
324	10286732A25050	5	2024-08-08 00:00:00,000	soles
325	9587939A24299	4	2024-05-29 00:00:00,000	soles
326	10294737A19786	4	2024-07-03 00:00:00,000	soles
327	10294737A19786	5	2025-01-09 00:00:00,000	soles
328	10551313A24299	7	2024-11-30 00:00:00,000	soles
329	10459257A21258	6	2024-09-07 00:00:00,000	soles
330	10459257A21258	7	2024-10-30 00:00:00,000	soles
331	10312925A19132	11	2024-10-31 00:00:00,000	soles
332	9305053A24056	9	2024-12-03 00:00:00,000	soles
333	9305053A24056	10	2024-12-03 00:00:00,000	soles
334	10574219A24440	9	2025-01-30 00:00:00,000	soles
335	10574219A24440	10	2025-01-30 00:00:00,000	soles
336	10269170A24360	6	2024-10-31 00:00:00,000	soles
337	10269170A24360	7	2024-11-30 00:00:00,000	soles
338	10692893A25701	4	2025-01-30 00:00:00,000	soles
339	10610422A24550	4	2024-07-11 00:00:00,000	soles
340	10615757A24550	3	2024-07-26 00:00:00,000	soles
341	10194173A26570	3	2024-10-12 00:00:00,000	soles
342	10566409A24719	7	2024-09-30 00:00:00,000	soles
343	10557149A24317	5	2024-05-31 00:00:00,000	soles
344	10568048A24440	6	2024-06-26 00:00:00,000	soles
345	10550575A24440	5	2024-07-29 00:00:00,000	soles
346	10550575A24440	6	2024-07-29 00:00:00,000	soles
347	10157374A21838	10	2024-07-22 00:00:00,000	soles
348	10157374A21838	11	2024-07-22 00:00:00,000	soles
349	9504557A21258	5	2024-06-22 00:00:00,000	soles
350	10597799A24821	4	2024-07-03 00:00:00,000	soles
351	10596302A24719	3	2024-06-04 00:00:00,000	soles
352	10596302A24719	4	2024-08-24 00:00:00,000	soles
353	10596302A24719	5	2024-08-24 00:00:00,000	soles
354	10500219A22606	6	2024-07-11 00:00:00,000	soles
355	10051729A24251	4	2024-09-02 00:00:00,000	soles
356	10051729A24251	5	2024-09-10 00:00:00,000	soles
357	9755784A24299	8	2024-08-31 00:00:00,000	soles
358	9667550A24033	3	2024-04-19 00:00:00,000	soles
359	9667550A24033	4	2024-04-23 00:00:00,000	soles
360	10368077A23196	12	2024-02-18 00:00:00,000	soles
361	10368077A23196	11	2024-02-18 00:00:00,000	soles
362	9770976A21258	8	2024-04-29 00:00:00,000	soles
363	10264367A19988	9	2024-05-30 00:00:00,000	soles
364	9770976A21258	7	2024-04-29 00:00:00,000	soles
365	9350341A24332	2	2024-05-09 00:00:00,000	soles
366	10051729A24251	7	2024-05-31 00:00:00,000	soles
367	9709954A263101	2	2024-08-02 00:00:00,000	soles
368	9709954A263101	3	2024-09-30 00:00:00,000	soles
369	9539513A26065	2	2024-11-02 00:00:00,000	soles
370	9539513A26065	3	2024-10-06 00:00:00,000	soles
371	9539513A26065	4	2024-11-02 00:00:00,000	soles
372	9539513A26065	5	2024-11-30 00:00:00,000	soles
373	9755784A24299	9	2024-10-23 00:00:00,000	soles
374	9755784A24299	10	2024-10-23 00:00:00,000	soles
375	29170A23777	14	2024-09-26 00:00:00,000	soles
376	10578662A25240	9	2024-12-20 00:00:00,000	soles
377	10578662A25240	10	2024-12-20 00:00:00,000	soles
378	10578662A25240	11	2024-12-20 00:00:00,000	soles
379	10314447A26765	3	2024-12-16 00:00:00,000	soles
380	10114785A23261	8	2024-11-22 00:00:00,000	soles
381	10123733A19132	11	2024-12-30 00:00:00,000	soles
382	10123733A19132	12	2024-12-30 00:00:00,000	soles
383	10123733A19132	13	2024-12-30 00:00:00,000	soles
384	10123733A19132	14	2024-12-30 00:00:00,000	soles
385	10613954A25381	9	2025-01-17 00:00:00,000	soles
386	10272870A23945	10	2025-01-06 00:00:00,000	soles
387	10272870A23945	11	2025-01-15 00:00:00,000	soles
388	10272870A23945	12	2025-01-15 00:00:00,000	soles
389	10502169A23714	14	2025-04-14 00:00:00,000	soles
390	10209846A22594	3	2023-09-30 00:00:00,000	pesos mexicanos
391	10340894A22594	5	2023-05-29 00:00:00,000	pesos mexicanos
392	10340894A22594	6	2023-08-25 00:00:00,000	pesos mexicanos
393	10286144A20960	6	2023-08-03 00:00:00,000	dolares
394	10149232A21067	4	2023-04-28 00:00:00,000	dolares
395	10149232A21067	6	2023-10-13 00:00:00,000	dolares
396	10222192A20675	9	2023-07-21 00:00:00,000	dolares
397	10256959A20838	7	2023-05-11 00:00:00,000	dolares
398	10256959A20838	8	2023-05-31 00:00:00,000	dolares
399	9834917A22791	6	2025-03-20 00:00:00,000	dolares
400	10530789A23991	3	2024-08-21 00:00:00,000	pesos mexicanos
401	10038308A23307	5	2023-12-15 00:00:00,000	soles
402	10038308A23307	4	2023-12-15 00:00:00,000	soles
403	9735811A21020	5	2023-12-30 00:00:00,000	bolivianos
404	10192747A20637	4	2023-12-28 00:00:00,000	dolares
405	10477228A21880	3	2023-09-29 00:00:00,000	pesos mexicanos
406	9756756A19132	8	2025-02-21 00:00:00,000	dolares
407	9756756A19132	9	2025-03-28 00:00:00,000	dolares
408	10338371A22606	5	2025-01-25 00:00:00,000	soles
409	10338371A22606	6	2025-01-25 00:00:00,000	soles
410	10137414A20660	11	2024-11-30 00:00:00,000	dolares
411	10342654A22784	9	2023-10-17 00:00:00,000	pesos mexicanos
412	10408811A22829	2	2024-12-16 00:00:00,000	dolares
413	10264348A22167	5	2024-11-05 00:00:00,000	dolares
414	10292791A21338	8	2024-10-31 00:00:00,000	dolares
415	10165617A19850	11	2024-08-10 00:00:00,000	dolares
416	10425439A21528	2	2023-07-31 00:00:00,000	pesos mexicanos
417	10273452A20960	8	2024-04-25 00:00:00,000	dolares
418	10029622A17310	7	2024-11-13 00:00:00,000	dolares
419	9933392A23092	2	2024-04-26 00:00:00,000	dolares
420	10294116A20688	4	2023-09-20 00:00:00,000	dolares
421	9829323A20756	13	2024-02-14 00:00:00,000	dolares
422	10440711A22185	4	2023-09-22 00:00:00,000	pesos mexicanos
423	10520337A23856	2	2023-12-15 00:00:00,000	dolares
424	10286087A22784	8	2024-02-28 00:00:00,000	dolares
425	10520337A23856	3	2024-03-04 00:00:00,000	dolares
426	10138739A23723	6	2023-12-06 00:00:00,000	dolares
427	10077353A20846	9	2023-09-08 00:00:00,000	dolares
428	10237990A19464	9	2023-05-30 00:00:00,000	bolivianos
429	10129756A23261	6	2023-12-07 00:00:00,000	dolares
430	10404346A23261	1	2023-08-11 00:00:00,000	dolares
431	10260415A22822	3	2024-01-30 00:00:00,000	pesos mexicanos
432	9459728A20749	9	2024-02-29 00:00:00,000	dolares
433	9459728A20749	10	2024-02-29 00:00:00,000	dolares
434	9459728A20749	11	2024-02-29 00:00:00,000	dolares
435	9459728A20749	8	2024-02-28 00:00:00,000	dolares
436	9977487A20827	5	2023-12-08 00:00:00,000	bolivianos
437	10323496A21866	9	2024-09-02 00:00:00,000	dolares
438	18762A20984	7	2024-09-30 00:00:00,000	soles
439	18762A20984	6	2023-09-30 00:00:00,000	soles
440	9639347A20688	4	2023-10-30 00:00:00,000	dolares
441	222746A20063	9	2023-11-30 00:00:00,000	dolares
442	222746A20063	10	2023-11-30 00:00:00,000	dolares
443	10521448A22039	5	2024-01-05 00:00:00,000	dolares
444	10521448A22039	5	2024-01-05 00:00:00,000	dolares
445	10393474A21866	6	2023-11-16 00:00:00,000	dolares
446	10157374A21838	9	2024-07-22 00:00:00,000	soles
